job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role,salary_tier
AIJOB0029,AI Business Analyst,Business,Lead (10+ yrs),3,Bootcamp/Self-taught,216000.0,95000,180000,San Francisco,USA,Hybrid,Mid-size (501-5000),Manufacturing,Communication|Python|SQL|Agile|Git|SQL,14.6,78,6.7,8.5,2025,7,1,1,0,Senior ($200-300k)
AIJOB0030,AI Ethics Officer,Governance,Senior (6-9 yrs),10,Bootcamp/Self-taught,208000.0,110000,210000,Boston,USA,Hybrid,Enterprise (5000+),Research,Research|Ethics Frameworks|Communication|Research|Problem Solving|Cloud,11.2,72,11.1,9.6,2025,8,1,1,0,Senior ($200-300k)
AIJOB0031,NLP Engineer,AI Engineering,Lead (10+ yrs),8,PhD,348000.0,145000,290000,Zurich,Switzerland,On-site,Big Tech (FAANG+),Media,LLMs|Transformers|BERT|Hugging Face|Agile|Problem Solving,9.6,91,21.2,8.7,2026,1,1,0,0,Elite (>$300k)
AIJOB0032,AI Infrastructure Eng,Infrastructure,Lead (10+ yrs),4,Bachelor's,285000.0,140000,270000,Remote,Global,Hybrid,Enterprise (5000+),Research,Networking|Kubernetes|CUDA|Distributed Systems|Storage|Cloud|Leadership|Statistics|Cloud,11.5,85,16.3,7.2,2025,12,1,1,0,Senior ($200-300k)
AIJOB0033,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),10,Master's,141000.0,141000,270000,Toronto,Canada,Hybrid,Startup (1-50),Healthcare,CUDA|GPU Computing|TensorFlow|Python|Neural Networks|Communication|Statistics,8.0,89,8.2,6.2,2025,5,0,1,0,Mid ($100-150k)
AIJOB0034,AI Infrastructure Eng,Infrastructure,Entry (0-2 yrs),6,Bachelor's,160000.0,140000,270000,Austin,USA,Hybrid,Enterprise (5000+),Government,Distributed Systems|CUDA|Kubernetes|Cloud|Networking|Storage|Git,13.8,85,22.2,6.6,2026,2,0,1,0,Upper-Mid ($150-200k)
AIJOB0035,Senior ML Engineer,AI Engineering,Lead (10+ yrs),8,Associate's,223000.0,180000,312000,London,UK,Hybrid,Startup (1-50),Automotive,MLOps|Distributed Systems|System Design|LLM Fine-tuning|PyTorch|Python|Problem Solving|SQL|Git,10.6,96,20.9,6.9,2026,1,1,1,0,Senior ($200-300k)
AIJOB0036,AI Engineer,AI Engineering,Lead (10+ yrs),4,PhD,221000.0,100000,250000,Amsterdam,Netherlands,Hybrid,Enterprise (5000+),Finance,Cloud (AWS/GCP/Azure)|PyTorch|Python|Docker|LLM Integration|Problem Solving|Communication|Cloud,14.5,95,81.3,9.1,2025,3,1,1,0,Senior ($200-300k)
AIJOB0037,MLOps Engineer,ML Operations,Senior (6-9 yrs),8,Bootcamp/Self-taught,130000.0,130000,260000,Beijing,China,Fully Remote,Big Tech (FAANG+),Technology,Monitoring|CI/CD|Docker|Cloud|Kubernetes|Problem Solving,15.3,93,59.1,6.1,2025,11,1,1,0,Mid ($100-150k)
AIJOB0038,AI Business Analyst,Business,Senior (6-9 yrs),8,Associate's,95000.0,95000,180000,Bangalore,India,Hybrid,Startup (1-50),Government,Data Visualization|Communication|Python|Problem Solving,12.9,78,7.3,7.3,2025,11,1,1,0,Entry (<$100k)
AIJOB0039,Data Scientist,Data Science,Lead (10+ yrs),5,Bootcamp/Self-taught,198000.0,138000,195000,Chicago,USA,Fully Remote,Mid-size (501-5000),Government,Scikit-learn|Python|SQL|Statistics|Git,8.8,92,15.1,9.3,2026,1,1,1,0,Upper-Mid ($150-200k)
AIJOB0040,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),6,Bootcamp/Self-taught,238000.0,141000,270000,Dubai,UAE,Hybrid,Mid-size (501-5000),Consulting,GPU Computing|PyTorch|TensorFlow|CUDA|Neural Networks|SQL,4.7,89,9.0,8.1,2026,1,1,1,0,Senior ($200-300k)
AIJOB0041,NLP Engineer,AI Engineering,Entry (0-2 yrs),7,Master's,192000.0,145000,290000,Boston,USA,Hybrid,Enterprise (5000+),Energy,LLMs|Text Processing|Hugging Face|Python|Transformers|Linux|Cloud|Communication,9.2,91,78.1,7.0,2026,2,0,1,0,Upper-Mid ($150-200k)
AIJOB0042,AI Product Manager,Product,Entry (0-2 yrs),10,PhD,149000.0,140000,260000,Dubai,UAE,Hybrid,Mid-size (501-5000),Media,Data Analysis|Agile|Product Strategy|AI Literacy|Stakeholder Mgmt|Statistics|Leadership,17.3,85,26.7,9.7,2025,7,0,1,0,Mid ($100-150k)
AIJOB0043,NLP Engineer,AI Engineering,Senior (6-9 yrs),9,Bootcamp/Self-taught,164000.0,145000,290000,Amsterdam,Netherlands,Hybrid,Startup (1-50),Finance,Text Processing|Transformers|LLMs|Python|BERT|Hugging Face|Research,6.2,91,67.7,7.6,2026,1,1,1,0,Upper-Mid ($150-200k)
AIJOB0044,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),6,Associate's,272000.0,180000,312000,Remote,Global,Hybrid,Mid-size (501-5000),Consulting,Distributed Systems|LLM Fine-tuning|MLOps|PyTorch|System Design|SQL|Git|Communication,10.9,96,31.6,6.3,2026,3,1,1,0,Senior ($200-300k)
AIJOB0045,AI Infrastructure Eng,Infrastructure,Mid (3-5 yrs),3,PhD,275000.0,140000,270000,Boston,USA,Hybrid,Enterprise (5000+),Media,Cloud|CUDA|Storage|Kubernetes|Distributed Systems|Communication,14.8,85,9.5,6.7,2026,2,0,1,0,Senior ($200-300k)
AIJOB0046,RAG Engineer,AI Engineering,Mid (3-5 yrs),4,Master's,189000.0,145000,280000,London,UK,Fully Remote,Enterprise (5000+),Consulting,LLMs|Python|Embeddings|Vector DBs|Search Systems|LangChain|Statistics|Agile,7.8,94,48.3,7.1,2026,2,0,1,1,Upper-Mid ($150-200k)
AIJOB0047,Data Scientist,Data Science,Senior (6-9 yrs),7,Associate's,146000.0,138000,195000,London,UK,Fully Remote,Enterprise (5000+),Energy,Python|Scikit-learn|SQL|ML Algorithms|Data Visualization|Research|Agile|Communication,4.5,92,28.9,7.0,2026,3,1,1,0,Mid ($100-150k)
AIJOB0048,Multimodal AI Engineer,AI Engineering,Entry (0-2 yrs),3,PhD,180000.0,160000,300000,Austin,USA,Fully Remote,Startup (1-50),Healthcare,PyTorch|Vision-Language Models|Python|APIs|Fine-tuning|Cloud|Linux|Communication,16.8,90,14.1,7.9,2025,3,0,1,0,Upper-Mid ($150-200k)
AIJOB0049,Computer Vision Engineer,AI Engineering,Senior (6-9 yrs),4,Bachelor's,234000.0,145000,280000,Remote,Global,On-site,Mid-size (501-5000),Media,OpenCV|CNNs|PyTorch|Python|SQL|Agile,5.6,87,23.7,7.0,2025,11,1,0,0,Senior ($200-300k)
AIJOB0050,Data Engineer (AI),Data Engineering,Lead (10+ yrs),6,Bachelor's,240000.0,130000,220000,Boston,USA,On-site,SME (51-500),Healthcare,dbt|Spark|Python|Airflow|SQL|Cloud|Git,8.4,88,29.9,6.4,2025,9,1,0,0,Senior ($200-300k)
AIJOB0051,Senior Data Scientist,Data Science,Senior (6-9 yrs),7,Associate's,169000.0,157000,218000,Sydney,Australia,Hybrid,Enterprise (5000+),Automotive,Leadership|Python|ML|Causal Inference|Advanced Statistics|Deep Learning|Statistics,9.7,90,26.4,6.4,2026,3,1,1,0,Upper-Mid ($150-200k)
AIJOB0052,AI Agent Developer,AI Engineering,Lead (10+ yrs),2,PhD,257000.0,155000,290000,Singapore,Singapore,On-site,Startup (1-50),Automotive,Python|LangChain|APIs|Tool Use|Planning Systems|AutoGen|Problem Solving,15.7,96,30.1,6.8,2026,2,1,0,1,Senior ($200-300k)
AIJOB0053,AI Compliance Manager,Governance,Entry (0-2 yrs),5,PhD,188000.0,100000,200000,Austin,USA,On-site,Big Tech (FAANG+),Healthcare,Auditing|Documentation|EU AI Act|SQL,15.9,68,10.9,7.2,2025,1,0,0,0,Upper-Mid ($150-200k)
AIJOB0054,Senior Data Scientist,Data Science,Entry (0-2 yrs),10,Bachelor's,157000.0,157000,218000,Amsterdam,Netherlands,Hybrid,Big Tech (FAANG+),Education,ML|Deep Learning|Advanced Statistics|SQL|Leadership|Agile,3.2,90,30.0,9.2,2026,1,0,1,0,Upper-Mid ($150-200k)
AIJOB0055,AI Ethics Officer,Governance,Entry (0-2 yrs),5,PhD,110000.0,110000,210000,Zurich,Switzerland,Hybrid,Startup (1-50),Media,Ethics Frameworks|Research|Risk Assessment|Leadership|Agile|Research,9.0,72,22.5,9.2,2026,3,0,1,0,Mid ($100-150k)
AIJOB0056,Generative AI Engineer,AI Engineering,Lead (10+ yrs),8,Master's,354000.0,150000,295000,Los Angeles,USA,Fully Remote,Enterprise (5000+),Consulting,Diffusion Models|Deployment|Python|GenAI APIs|Fine-tuning|LLMs|Agile|Statistics|Linux,8.7,95,75.7,6.4,2025,12,1,1,1,Elite (>$300k)
AIJOB0057,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),6,Associate's,160000.0,130000,220000,Austin,USA,Hybrid,Big Tech (FAANG+),Energy,Feature Stores|Python|Airflow|SQL|dbt|SQL|Agile,9.0,88,17.7,6.6,2026,1,0,1,0,Upper-Mid ($150-200k)
AIJOB0058,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),8,PhD,130000.0,130000,220000,Tokyo,Japan,Fully Remote,Mid-size (501-5000),Retail,ETL|dbt|Feature Stores|Python|SQL|Spark|Linux,11.1,88,13.5,6.0,2026,3,0,1,0,Mid ($100-150k)
AIJOB0059,Multimodal AI Engineer,AI Engineering,Mid (3-5 yrs),7,Bachelor's,160000.0,160000,300000,Sydney,Australia,Fully Remote,Startup (1-50),Retail,APIs|Fine-tuning|Vision-Language Models|Linux|Statistics,15.8,90,19.2,6.3,2025,3,0,1,0,Upper-Mid ($150-200k)
AIJOB0060,AI Compliance Manager,Governance,Entry (0-2 yrs),9,PhD,100000.0,100000,200000,Beijing,China,Hybrid,Startup (1-50),Finance,Auditing|Legal Knowledge|Risk Management|Documentation|Leadership,9.1,68,22.0,8.3,2026,2,0,1,0,Entry (<$100k)
AIJOB0061,ML Engineer,AI Engineering,Entry (0-2 yrs),6,Bachelor's,120000.0,120000,280000,London,UK,Hybrid,Enterprise (5000+),Research,TensorFlow|SQL|Kubernetes|Python|Research,9.3,97,53.9,6.9,2026,3,0,1,0,Mid ($100-150k)
AIJOB0062,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),2,Bootcamp/Self-taught,130000.0,130000,220000,Seattle,USA,On-site,Enterprise (5000+),Government,dbt|Airflow|ETL|Feature Stores|SQL|Cloud|Agile|Git,11.2,88,25.0,8.3,2026,2,0,0,0,Mid ($100-150k)
AIJOB0063,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),6,Bootcamp/Self-taught,180000.0,180000,312000,Amsterdam,Netherlands,Hybrid,Startup (1-50),Manufacturing,System Design|Distributed Systems|PyTorch|MLOps|Python|LLM Fine-tuning|Git|Leadership|Communication,17.6,96,62.1,6.6,2025,5,0,1,0,Upper-Mid ($150-200k)
AIJOB0064,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),10,Bachelor's,222000.0,141000,270000,Chicago,USA,Hybrid,Big Tech (FAANG+),Finance,GPU Computing|CUDA|Neural Networks|TensorFlow|PyTorch|Python|Research,7.4,89,24.9,8.2,2025,2,0,1,0,Senior ($200-300k)
AIJOB0065,MLOps Engineer,ML Operations,Entry (0-2 yrs),5,Bachelor's,131000.0,130000,260000,Zurich,Switzerland,Hybrid,Enterprise (5000+),Energy,Monitoring|Python|MLflow|Leadership|Cloud|Research,15.9,93,80.4,7.7,2026,3,0,1,0,Mid ($100-150k)
AIJOB0066,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),3,Associate's,247000.0,141000,270000,Toronto,Canada,Hybrid,Big Tech (FAANG+),Education,Python|TensorFlow|CUDA|GPU Computing|Neural Networks|PyTorch|Research,7.3,89,14.1,9.5,2025,6,1,1,0,Senior ($200-300k)
AIJOB0067,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),7,Bachelor's,160000.0,160000,300000,Beijing,China,On-site,Startup (1-50),Consulting,APIs|PyTorch|Vision-Language Models|Python|Fine-tuning|Problem Solving,11.5,90,29.2,8.7,2025,10,1,0,0,Upper-Mid ($150-200k)
AIJOB0068,AI Infrastructure Eng,Infrastructure,Lead (10+ yrs),8,PhD,324000.0,140000,270000,Seattle,USA,On-site,Mid-size (501-5000),Retail,Networking|Distributed Systems|CUDA|Statistics,10.1,85,28.7,7.8,2025,3,1,0,0,Elite (>$300k)
AIJOB0069,Senior Data Scientist,Data Science,Entry (0-2 yrs),5,Associate's,157000.0,157000,218000,Seattle,USA,Fully Remote,Mid-size (501-5000),Healthcare,Deep Learning|Advanced Statistics|ML|Python|Causal Inference|Problem Solving,3.3,90,14.1,8.7,2026,3,0,1,0,Upper-Mid ($150-200k)
AIJOB0070,MLOps Engineer,ML Operations,Mid (3-5 yrs),9,PhD,191000.0,130000,260000,Zurich,Switzerland,Fully Remote,SME (51-500),Government,Cloud|Kubernetes|Docker|CI/CD|Monitoring|MLflow|Leadership|Problem Solving,16.2,93,73.5,6.5,2025,11,0,1,0,Upper-Mid ($150-200k)
AIJOB0071,AI Ethics Officer,Governance,Entry (0-2 yrs),8,Associate's,126000.0,110000,210000,Singapore,Singapore,Fully Remote,Big Tech (FAANG+),Automotive,Risk Assessment|Ethics Frameworks|Research|Linux|Cloud|Git,16.8,72,28.3,7.6,2025,6,0,1,0,Mid ($100-150k)
AIJOB0072,NLP Engineer,AI Engineering,Senior (6-9 yrs),4,Master's,167000.0,145000,290000,Sydney,Australia,On-site,Startup (1-50),Energy,Transformers|Text Processing|Python|Hugging Face|BERT|Linux|Research|Leadership,3.6,91,33.7,9.2,2026,3,1,0,0,Upper-Mid ($150-200k)
AIJOB0073,RAG Engineer,AI Engineering,Entry (0-2 yrs),2,PhD,157000.0,145000,280000,Dubai,UAE,Hybrid,Enterprise (5000+),Education,Vector DBs|Embeddings|Search Systems|Git,3.1,94,52.6,6.9,2025,7,0,1,1,Upper-Mid ($150-200k)
AIJOB0074,AI Engineer,AI Engineering,Mid (3-5 yrs),7,Associate's,100000.0,100000,250000,Beijing,China,Hybrid,Mid-size (501-5000),Manufacturing,Python|Cloud (AWS/GCP/Azure)|Docker|PyTorch|LLM Integration|SQL|Cloud,8.2,95,72.6,7.3,2026,3,0,1,0,Entry (<$100k)
AIJOB0075,Data Scientist,Data Science,Mid (3-5 yrs),4,Bachelor's,138000.0,138000,195000,Bangalore,India,Fully Remote,Mid-size (501-5000),Finance,ML Algorithms|Scikit-learn|Data Visualization|SQL|Linux,9.6,92,17.7,6.8,2026,1,0,1,0,Mid ($100-150k)
AIJOB0076,AI Product Manager,Product,Lead (10+ yrs),4,Associate's,258000.0,140000,260000,Paris,France,Fully Remote,Big Tech (FAANG+),Government,AI Literacy|Stakeholder Mgmt|Data Analysis|Product Strategy|Agile|Git|Statistics,15.4,85,27.4,7.5,2026,2,1,1,0,Senior ($200-300k)
AIJOB0077,AI Infrastructure Eng,Infrastructure,Senior (6-9 yrs),3,Bachelor's,248000.0,140000,270000,Remote,Global,Hybrid,Mid-size (501-5000),Education,Storage|Kubernetes|CUDA|Networking|Cloud|Distributed Systems|Agile|Problem Solving,12.3,85,22.2,7.3,2025,6,1,1,0,Senior ($200-300k)
AIJOB0078,RAG Engineer,AI Engineering,Entry (0-2 yrs),5,Bachelor's,145000.0,145000,280000,Amsterdam,Netherlands,On-site,Mid-size (501-5000),Finance,Search Systems|Vector DBs|Python|Embeddings|LangChain|Linux,7.5,94,41.4,9.6,2025,3,0,0,1,Mid ($100-150k)
AIJOB0079,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),7,Bootcamp/Self-taught,244000.0,160000,300000,Zurich,Switzerland,On-site,Mid-size (501-5000),Finance,Fine-tuning|PyTorch|Vision-Language Models|Agile|Communication,9.9,90,17.9,9.5,2025,5,1,0,0,Senior ($200-300k)
AIJOB0080,AI Infrastructure Eng,Infrastructure,Senior (6-9 yrs),4,Bootcamp/Self-taught,167000.0,140000,270000,Zurich,Switzerland,Hybrid,SME (51-500),Consulting,Distributed Systems|Kubernetes|Networking|Statistics,8.6,85,18.6,9.4,2026,3,1,1,0,Upper-Mid ($150-200k)
AIJOB0081,AI Infrastructure Eng,Infrastructure,Mid (3-5 yrs),9,Bachelor's,196000.0,140000,270000,Chicago,USA,On-site,Mid-size (501-5000),Media,Kubernetes|Distributed Systems|Cloud|Networking|Problem Solving|Statistics|Research,16.8,85,6.6,7.5,2026,2,0,0,0,Upper-Mid ($150-200k)
AIJOB0082,AI Security Engineer,Security,Entry (0-2 yrs),4,Master's,146000.0,140000,260000,Amsterdam,Netherlands,Fully Remote,Enterprise (5000+),Media,Red Teaming|Python|Cybersecurity|Risk Analysis|Cloud,8.6,80,8.1,6.6,2025,6,0,1,0,Mid ($100-150k)
AIJOB0083,AI Infrastructure Eng,Infrastructure,Senior (6-9 yrs),8,Bachelor's,179000.0,140000,270000,London,UK,Hybrid,Mid-size (501-5000),Consulting,Kubernetes|CUDA|Cloud|Storage|Distributed Systems|Problem Solving|Linux|Leadership,17.0,85,13.4,9.5,2025,1,1,1,0,Upper-Mid ($150-200k)
AIJOB0084,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),11,Master's,374400.0,180000,312000,New York,USA,Hybrid,Big Tech (FAANG+),Consulting,MLOps|LLM Fine-tuning|System Design|Agile|Research|Communication,12.5,96,65.3,6.6,2026,2,1,1,0,Elite (>$300k)
AIJOB0085,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),8,PhD,253000.0,141000,270000,Toronto,Canada,Hybrid,Big Tech (FAANG+),Finance,Neural Networks|PyTorch|TensorFlow|CUDA|Python|Communication|Research,4.7,89,7.4,7.1,2025,10,0,1,0,Senior ($200-300k)
AIJOB0086,Prompt Engineer,AI Engineering,Senior (6-9 yrs),2,Associate's,121000.0,90000,200000,London,UK,Fully Remote,SME (51-500),Finance,NLP|Testing|Documentation|LLM APIs|Research|SQL,6.5,82,29.2,6.8,2025,1,1,1,1,Mid ($100-150k)
AIJOB0087,MLOps Engineer,ML Operations,Lead (10+ yrs),9,PhD,312000.0,130000,260000,Remote,Global,Hybrid,Big Tech (FAANG+),Technology,CI/CD|Kubernetes|Docker|Statistics|Cloud|Problem Solving,13.7,93,29.2,8.1,2025,9,1,1,0,Elite (>$300k)
